repo,login,year,url,title,reason,comment_count,num_issues,num_stars
flybywiresim/a32nx,AdenFlorian,"""2020-10-05T11:51:22Z""","""https://github.com/flybywiresim/a32nx/issues/1110""","""Performance decrease of around 20% in FPS and more stutter in latest master[BUG]""","""too heated""",37,3269,1913
emmetio/sublime-text-plugin,sergeche,"""2020-08-23T09:15:36Z""","""https://github.com/emmetio/sublime-text-plugin/issues/50""","""Everything just stop working""","""too heated""",41,229,108
FasterXML/jackson-databind,cowtowncoder,"""2016-07-14T03:12:47Z""","""https://github.com/FasterXML/jackson-databind/issues/1296""","""Add `@JsonIncludeProperties(propertyNames)` (reverse of `@JsonIgnoreProperties`)""","""too heated""",33,699,455
nodejs/node,jasnell,"""2020-06-13T17:41:50Z""","""https://github.com/nodejs/node/issues/33864""","""Rename default branch from \""master\"" to \""main\"" or something similar""","""too heated""",56,3654,11453
betaflight/betaflight,etracer65,"""2020-09-08T07:42:35Z""","""https://github.com/betaflight/betaflight/issues/10169""","""@pam4fh just use Betaflight Configurator 10.7.0 and enable FrskyOSD in PORTS tab""","""too heated""",6,1057,1014
Mardaneus86/futwebapp-tampermonkey,Mardaneus86,"""2020-09-30T19:02:20Z""","""https://github.com/Mardaneus86/futwebapp-tampermonkey/issues/223""","""FUT 21""","""too heated""",47,57,37
Kruptein/PlanarAlly,Kruptein,"""2020-06-18T09:47:48Z""","""https://github.com/Kruptein/PlanarAlly/issues/435""","""[BUG] dialog background is cut at the right side in Firefox and some other browsers""","""too heated""",11,361,126
bitcoin-core/bitcoincore.org,laanwj,"""2021-01-21T18:17:18Z""","""https://github.com/bitcoin-core/bitcoincore.org/issues/746""","""Disappointing decision from core devs.""","""too heated""",10,32,56
MichiganCOG/TASED-Net,kylemin,"""2020-01-09T00:02:36Z""","""https://github.com/MichiganCOG/TASED-Net/issues/6""","""Some problem when i training on my custom dataset""","""too heated""",8,16,39
MatthewRalston/kdb,MatthewRalston,"""2020-02-14T14:10:50Z""","""https://github.com/MatthewRalston/kdb/issues/7""","""Major refactor of kdb module""","""too heated""",7,15,2
git-for-windows/git,dscho,"""2020-06-08T10:10:47Z""","""https://github.com/git-for-windows/git/issues/2674""","""Change non-inclusive naming""","""too heated""",178,774,1033
kfix/ddcctl,kfix,"""2016-12-09T18:21:43Z""","""https://github.com/kfix/ddcctl/issues/17""","""Duplicate displays cannot be addressed""","""too heated""",27,45,441
termux/termux-app,xeffyr,"""2019-03-18T14:46:52Z""","""https://github.com/termux/termux-app/issues/1072""","""No more exec from data folder on targetAPI >= Android Q""","""too heated""",248,763,2501
junwoo081031/junwoo081031.github.io,junwoo081031,"""2020-10-15T05:42:43Z""","""https://github.com/junwoo081031/junwoo081031.github.io/issues/1""","""Han Jun Woo""","""too heated""",113,11,
Aleph-One-Marathon/alephone,treellama,"""2020-05-01T20:17:58Z""","""https://github.com/Aleph-One-Marathon/alephone/issues/183""","""Media textures on walls now always employ liquid transparency even where they were previously solid""","""too heated""",15,85,75
dotnet/aspnetcore,mkArtakMSFT,"""2020-10-05T23:19:23Z""","""https://github.com/dotnet/aspnetcore/issues/26625""","""⏱️ Call to action: Help shape the future for ASP.NET Core""","""too heated""",89,13306,5931
RfidResearchGroup/ChameleonMini,iceman1001,"""2020-09-18T01:08:04Z""","""https://github.com/RfidResearchGroup/ChameleonMini/issues/42""","""Card emulation is not working anymore""","""too heated""",20,47,132
nodejs/node,jasnell,"""2020-06-13T17:41:50Z""","""https://github.com/nodejs/node/issues/33864""","""Rename default branch from \""master\"" to \""main\"" or something similar""","""too heated""",56,3654,11453
hxr404/hello-world,hxr404,"""2020-09-21T14:45:27Z""","""https://github.com/hxr404/hello-world/issues/1""","""lol...""","""too heated""",10,8,2
MichiganCOG/A2CL-PT,kylemin,"""2020-10-06T23:28:00Z""","""https://github.com/MichiganCOG/A2CL-PT/issues/4""","""Sharing model weights for Activity Net""","""too heated""",9,13,38
ckjbug/Catalog,ckjbug,"""2019-01-17T16:03:51Z""","""https://github.com/ckjbug/Catalog/issues/1""","""专术系列""","""too heated""",13,10,
mozilla-mobile/fenix,kbrosnan,"""2020-06-07T09:00:23Z""","""https://github.com/mozilla-mobile/fenix/issues/11308""","""Allow sideloading addons on Nightly that use supported WebExtension APIs""","""too heated""",40,18677,2013
jhipster/generator-jhipster,mshima,"""2020-10-09T16:12:36Z""","""https://github.com/jhipster/generator-jhipster/issues/12702""","""Hexagonal architecture friendly.""","""too heated""",4,1596,2821
ckjbug/Catalog,ckjbug,"""2019-01-17T16:03:51Z""","""https://github.com/ckjbug/Catalog/issues/1""","""专术系列""","""too heated""",13,10,
xenia-project/xenia,gibbed,"""2020-11-15T20:30:05Z""","""https://github.com/xenia-project/xenia/issues/1683""","""Rename branch 'master' to 'main'""","""too heated""",7,109,724
