,repo,login,year,url,title,reason,comment_count,num_issues,num_stars,contributors_url
58,tensorflow/tensorflow,rthadur,"""2015-11-09T17:41:26Z""","""https://github.com/tensorflow/tensorflow/issues/22""","""OpenCL support""","""too heated""",542,9522.0,12510.0,https://api.github.com/repos/tensorflow/tensorflow/contributors
59,sqlalchemy/sqlalchemy,zzzeek,"""2021-09-14T02:20:27Z""","""https://github.com/sqlalchemy/sqlalchemy/issues/7027""","""SQLite ORM `datetime` conversion interprets milliseconds as microseconds on reads""","""too heated""",11,1604.0,1568.0,https://api.github.com/repos/sqlalchemy/sqlalchemy/contributors
60,nextcloud/calendar,jospoortvliet,"""2017-10-11T23:07:55Z""","""https://github.com/nextcloud/calendar/issues/629""","""Default reminders configuration [$113]""","""too heated""",29,726.0,124.0,https://api.github.com/repos/nextcloud/calendar/contributors
61,nextcloud/calendar,jospoortvliet,"""2017-10-11T23:07:55Z""","""https://github.com/nextcloud/calendar/issues/629""","""Default reminders configuration [$113]""","""too heated""",29,726.0,124.0,https://api.github.com/repos/nextcloud/calendar/contributors
62,bitcoin-core/bitcoincore.org,laanwj,"""2021-01-21T18:17:18Z""","""https://github.com/bitcoin-core/bitcoincore.org/issues/746""","""Disappointing decision from core devs.""","""too heated""",10,49.0,119.0,https://api.github.com/repos/bitcoin-core/bitcoincore.org/contributors
63,pyca/cryptography,alex,"""2021-02-08T08:58:33Z""","""https://github.com/pyca/cryptography/issues/5771""","""Dependency on rust removes support for a number of platforms""","""too heated""",179,480.0,855.0,https://api.github.com/repos/pyca/cryptography/contributors
64,mui-org/material-ui,eps1lon,"""2021-09-15T18:49:26Z""","""https://github.com/mui-org/material-ui/issues/28368""","""v5 Documentation site is broken""","""too heated""",22,4364.0,11936.0,https://api.github.com/repos/mui-org/material-ui/contributors
65,openai/gym,jkterry1,"""2021-07-27T17:33:35Z""","""https://github.com/openai/gym/issues/2259""","""Plans for Future Maintenance of Gym""","""too heated""",24,459.0,3324.0,https://api.github.com/repos/openai/gym/contributors
66,freeCodeCamp/freeCodeCamp,moT01,"""2021-09-30T16:53:25Z""","""https://github.com/freeCodeCamp/freeCodeCamp/issues/43639""","""When selecting a language in the nav menu it opens in a new tab""","""too heated""",19,1424.0,23941.0,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/contributors
67,RocketChat/Rocket.Chat,sampaiodiego,"""2020-09-30T03:06:02Z""","""https://github.com/RocketChat/Rocket.Chat/issues/19065""","""MaxListenersExceededWarning after upgrade to 3.6.3""","""too heated""",34,2574.0,3530.0,https://api.github.com/repos/RocketChat/Rocket.Chat/contributors
