,repo,login,year,url,title,reason,comment_count,num_issues,num_stars,contributors_url,api_url,issue_id
58,flatpak/xdg-desktop-portal,GeorgesStavracas,"""2021-10-16T02:58:26Z""","""https://github.com/flatpak/xdg-desktop-portal/issues/649""","""Screenshot portal without prompt""","""too heated""",26,162,157,https://api.github.com/repos/flatpak/xdg-desktop-portal/contributors,https://api.github.com/repos/flatpak/xdg-desktop-portal/issues/649,1027933041
59,flatpak/xdg-desktop-portal,GeorgesStavracas,"""2021-10-16T02:58:26Z""","""https://github.com/flatpak/xdg-desktop-portal/issues/649""","""Screenshot portal without prompt""","""too heated""",26,162,157,https://api.github.com/repos/flatpak/xdg-desktop-portal/contributors,https://api.github.com/repos/flatpak/xdg-desktop-portal/issues/649,1027933041
60,opnsense/core,fichtner,"""2022-01-03T05:31:54Z""","""https://github.com/opnsense/core/issues/5453""","""radvd does not start up with 22.1""","""too heated""",23,1081,415,https://api.github.com/repos/opnsense/core/contributors,https://api.github.com/repos/opnsense/core/issues/5453,1092238495
61,nodejs/node,aduh95,"""2020-06-13T17:41:50Z""","""https://github.com/nodejs/node/issues/33864""","""Rename default branch from \""master\"" to \""main\""""","""too heated""",121,2612,10103,https://api.github.com/repos/nodejs/node/contributors,https://api.github.com/repos/nodejs/node/issues/33864,638202113
62,nodejs/node,Trott,"""2021-05-06T18:48:22Z""","""https://github.com/nodejs/node/issues/38573""","""Rename Node-API to something less confusing/misleading""","""too heated""",4,2612,10103,https://api.github.com/repos/nodejs/node/contributors,https://api.github.com/repos/nodejs/node/issues/38573,877864027
63,Cog-Creators/Red-DiscordBot,jack1142,"""2022-08-12T01:57:57Z""","""https://github.com/Cog-Creators/Red-DiscordBot/issues/5819""","""Audio Track Playback Issue""","""too heated""",11,193,952,https://api.github.com/repos/Cog-Creators/Red-DiscordBot/contributors,https://api.github.com/repos/Cog-Creators/Red-DiscordBot/issues/5819,1336666723
64,PCSX2/pcsx2,refractionpcsx2,"""2021-06-08T01:13:24Z""","""https://github.com/PCSX2/pcsx2/issues/4485""","""[BUG] God of War 1 - FMV bug after 1.4.0""","""too heated""",26,1702,1939,https://api.github.com/repos/PCSX2/pcsx2/contributors,https://api.github.com/repos/PCSX2/pcsx2/issues/4485,914128991
66,kubernetes/website,sftim,"""2022-05-20T08:14:16Z""","""https://github.com/kubernetes/website/issues/33848""","""Link to CNCF contributor guide""","""too heated""",44,3304,1321,https://api.github.com/repos/kubernetes/website/contributors,https://api.github.com/repos/kubernetes/website/issues/33848,1242792738
67,kubernetes/website,natalisucks,"""2022-05-20T08:14:16Z""","""https://github.com/kubernetes/website/issues/33848""","""Link to CNCF contributor guide""","""too heated""",44,3304,1321,https://api.github.com/repos/kubernetes/website/contributors,https://api.github.com/repos/kubernetes/website/issues/33848,1242792738
68,HandBrake/HandBrake,sr55,"""2018-08-08T16:19:15Z""","""https://github.com/HandBrake/HandBrake/issues/1527""","""HE-AAC support for Linux and Windows""","""too heated""",21,974,2603,https://api.github.com/repos/HandBrake/HandBrake/contributors,https://api.github.com/repos/HandBrake/HandBrake/issues/1527,348797250
